Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/booking/1626,1,0,150.93733300000167,150.93733300000167,150.93733300000167,150.93733300000167,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1629,1,0,145.2826250000001,145.2826250000001,145.2826250000001,145.2826250000001,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1657,1,0,161.95220799999532,161.95220799999532,161.95220799999532,161.95220799999532,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1665,1,0,144.0501249999997,144.0501249999997,144.0501249999997,144.0501249999997,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1673,1,0,150.00016699999463,150.00016699999463,150.00016699999463,150.00016699999463,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1693,2,0,142.93900000000014,187.65416700000247,142.93900000000014,232.3693340000048,180.0,0.033869672076147106,0.0,230,230,230,230,230,230,230,230,230,230,230
DELETE,/booking/1698,1,0,181.8045409999982,181.8045409999982,181.8045409999982,181.8045409999982,7.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/17,1,0,152.06050000000104,152.06050000000104,152.06050000000104,152.06050000000104,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/170,1,0,182.9081670000008,182.9081670000008,182.9081670000008,182.9081670000008,7.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
PUT,/booking/1706,1,0,149.79412499999967,149.79412499999967,149.79412499999967,149.79412499999967,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1733,1,0,150.10512500000317,150.10512500000317,150.10512500000317,150.10512500000317,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1733,1,0,143.55412499999787,143.55412499999787,143.55412499999787,143.55412499999787,191.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1735,1,0,142.85187499999984,142.85187499999984,142.85187499999984,142.85187499999984,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1756,1,0,201.00470799999925,201.00470799999925,201.00470799999925,201.00470799999925,180.0,0.016934836038073553,0.0,200,200,200,200,200,200,200,200,200,200,200
PUT,/booking/1787,1,0,154.41541700000272,154.41541700000272,154.41541700000272,154.41541700000272,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1788,1,0,164.1447499999984,164.1447499999984,164.1447499999984,164.1447499999984,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1788,1,0,139.46766699999813,139.46766699999813,139.46766699999813,139.46766699999813,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
